"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLPTM1",0.0344290930951561,0.421646956177827,0.686,0.614,1
"MRPL57",0.0344529576166572,0.253913015865246,0.857,0.75,1
"MAP3K1",0.0344537457077227,0.500073603134644,0.25,0.125,1
"SNHG32",0.0344813362886907,0.262059611850161,0.829,0.716,1
"CDK17",0.0344961845398731,0.73068653127606,0.35,0.216,1
"AFDN",0.0344973229375938,-0.343041082040561,0.564,0.727,1
"CREM",0.0346017414360719,2.23703919730085,0.407,0.295,1
"UPF2",0.0346037482987226,0.671185519527398,0.386,0.25,1
"SLC12A7",0.0346364519370185,0.692718681077039,0.471,0.375,1
"AC073210.3",0.0347157870908092,0.635003183220751,0.25,0.125,1
"LYAR",0.0347528754556726,0.544273407045178,0.329,0.193,1
"TRMT6",0.0347627970734383,0.615550820554579,0.4,0.261,1
"VPS45",0.034823850798648,0.405436728996568,0.35,0.205,1
"SSBP4",0.0349595868947142,0.50417800146738,0.479,0.341,1
"ATPSCKMT",0.034971141524113,0.822001698022006,0.264,0.148,1
"NCL",0.0350402989238375,-0.317179779989199,0.993,0.977,1
"ZBED5",0.0350719525032778,0.514573172829758,0.307,0.17,1
"KLF13",0.0351797573642123,0.541652706886042,0.4,0.25,1
"POP4",0.0352016817569912,0.578076115135916,0.329,0.193,1
"MMP10",0.0353335131810939,0.51235193291308,0.286,0.148,1
"FKBP2",0.0353489164282369,0.63947665980006,0.329,0.193,1
"CCNT1",0.0354008447116267,0.402298387448166,0.421,0.273,1
"FNDC3B",0.0354197002959627,-0.262193429394423,0.493,0.636,1
"HLA-DQB1",0.0354383337997095,2.42352009983345,0.407,0.295,1
"PRXL2B",0.0355422379308787,0.291674453877695,0.429,0.25,1
"STRN4",0.0355580458812196,0.789580220329628,0.257,0.136,1
"CISD3",0.0356457159940243,0.351057591455312,0.821,0.761,1
"RNF216",0.0356844645978321,0.572509439261375,0.5,0.386,1
"GRHL2",0.0356902891328527,0.408151113693604,0.314,0.182,1
"TUBB4B",0.0357363610969033,0.415839888087564,0.986,0.966,1
"ABCB10",0.0357602063559596,0.683785556307031,0.25,0.125,1
"MAPK13",0.0357788247325771,0.590384374173451,0.479,0.364,1
